ticker symbol,company,sector,location
SWK,Stanley Black & Decker,Consumer Discretionary,"New Britain, Connecticut"
SBUX,Starbucks Corp.,Consumer Discretionary,"Seattle, Washington"
STT,State Street Corp.,Financials,"Boston, Massachusetts"
SRCL,Stericycle Inc,Industrials,"Lake Forest, Illinois"
SYK,Stryker Corp.,Health Care,"Kalamazoo, Michigan"
STI,SunTrust Banks,Financials,"Atlanta, Georgia"
SYMC,Symantec Corp.,Information Technology,"Mountain View, California"
SYF,Synchrony Financial,Financials,"Stamford, Connecticut"
SNPS,Synopsys Inc.,Information Technology,"Mountain View, California"
SYY,Sysco Corp.,Consumer Staples,"Houston, Texas"
TROW,T. Rowe Price Group,Financials,"Baltimore, Maryland"
TPR,"Tapestry, Inc.",Consumer Discretionary,"New York, New York"
TGT,Target Corp.,Consumer Discretionary,"Minneapolis, Minnesota"
TEL,TE Connectivity Ltd.,Information Technology,"Schaffhausen, Switzerland"
FTI,TechnipFMC,Energy,London
TXN,Texas Instruments,Information Technology,"Dallas, Texas"
TXT,Textron Inc.,Industrials,"Providence, Rhode Island"
TMO,Thermo Fisher Scientific,Health Care,"Waltham, Massachusetts"
TIF,Tiffany & Co.,Consumer Discretionary,"New York, New York"
TWX,Time Warner Inc.,Consumer Discretionary,"New York, New York"
